"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"new_cases",1,3294,320.856405585914,706.474894902283,66,141.854704097117,97.8516,0,6531,6531,3.98167613697695,19.3783372949183,12.3093447741803
"new_cases.per1M",2,3294,49.1550752888636,82.7673654487915,12.867151295053,29.459823742401,19.0768385100456,0,614.789240072081,614.789240072081,2.47977611268011,7.04176267851833,1.44210649905779
"log.new_cases.per1M",3,3294,2.39985752338013,1.95776484940264,2.62952282715088,2.31187903471021,2.90404774773408,0,6.42290476224921,6.42290476224921,0.0991728991368146,-1.36024427674213,0.034111336003527
"log.new_cases",4,3294,3.53571252616939,2.62526601348822,4.20469261939097,3.479610714975,2.96195327601522,0,8.78446845409036,8.78446845409036,-0.146439691168491,-1.31789688735773,0.0457416175962404
"rwi",5,3294,0.166213485105072,0.23814037314159,0.0773518610798229,0.129840904301388,0.183871176307586,-0.0467738815769532,0.670623718043966,0.717397599620919,1.09133166071655,-0.214040365255839,0.00414926557023265
"X0_14_pct",6,3294,0.287870897134131,0.0330534536752349,0.290518054378926,0.28992792307319,0.0303193997279423,0.227039368863509,0.332221208458373,0.105181839594863,-0.559248090670215,-0.770315991680559,0.000575910566959551
"X65p_pct",7,3294,0.0630255483218803,0.00775795460176614,0.0639427936747143,0.0628771984339663,0.00831009922486728,0.0506256467152438,0.0766140526778824,0.0259884059626386,-0.0211396459916611,-0.841808448838564,0.000135171594383105
"M_pct",8,3294,0.493553773274822,0.0149744657135507,0.495534120978185,0.493443595604158,0.0233875321747536,0.4710748930256,0.516915414435503,0.0458405214099024,0.00560904433681211,-1.18298657533046,0.000260909287233387
"first_case",9,3294,0.825136612021858,0.379907882982119,1,0.906297420333839,0,0,1,1,-1.71114062577196,0.928284328290179,0.00661936771964511
"ban_travel",10,3294,0.797814207650273,0.401691028585557,1,0.872154779969651,0,0,1,1,-1.48235223268586,0.197428353955369,0.00699890880657357
"lockdown",11,3294,1.93169398907104,1.62761911591715,1,1.79172989377845,1.4826,0,5,5,0.448472290017079,-1.00152612933889,0.0283590046913725
"weekend",12,3294,0.284153005464481,0.451078535728371,0,0.230273141122913,0,0,1,1,0.956735690676766,-1.0849859242173,0.00785941759088398
"admin1_inflow_trip_count.per1M",13,3294,127.540909607854,128.584394319534,88.1040211548639,105.548415997894,95.7828726953288,0.289926545660024,833.801979350543,833.512052804883,1.68036806972746,3.22429583317557,2.24040465369574
"admin1_inbound_admin2_crossbound_trip_count.per1M",14,3294,267.002480924109,472.040832372942,95.8434024160799,150.188194191634,75.725871004409,0.750834740522776,3169.13758496093,3168.38675022041,3.5220136235955,14.2921261611141,8.22465652367345
"admin2_inbound_trip_count.per1M",15,3294,6016.73653702622,5615.64097053607,4303.17258569538,5020.84223383437,3102.872039785,337.780566382204,36711.5139543821,36373.7333879999,2.53429926590718,7.79337538652663,97.8447519269626
"log.admin1_inflow_trip_count.per1M",16,3294,4.25061616950251,1.27826939251022,4.48506242315308,4.35058358669721,1.30736480764566,-0.832662570804495,6.7264460856403,7.55910865644479,-0.847845050805806,0.892276825040053,0.0222720705013398
"log.admin1_inbound_admin2_crossbound_trip_count.per1M",17,3294,4.70232995991199,1.31002415017549,4.56507035046697,4.69424559456506,0.869020312603485,0.118895404108834,8.06123615243938,7.94234074833054,0.0501428717388671,0.594215160571964,0.0228253530923319
"log.admin2_inbound_trip_count.per1M",18,3294,8.35952387001092,0.852756733440779,8.36718134148137,8.39207263450029,0.768321832344698,5.82293194801382,10.5108496652725,4.68791771725867,-0.26300223754485,0.263850918687222,0.0148581028372964
